run_id,backend,iteration,cuda_ms,wall_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182249_bf16_eager,bf16_eager,398,62.759937,62.791262,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,399,61.014015,61.106681,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,400,60.436481,60.475294,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,401,61.732864,61.76525,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,402,60.684288,60.717426,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,403,60.650497,60.683944,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,404,60.759041,60.791123,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,405,60.464127,60.497025,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,406,60.435455,60.471086,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,407,60.672001,60.705523,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,408,60.600319,60.635573,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,409,60.366817,60.394233,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,410,60.217342,60.243613,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,411,59.984898,60.010799,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,412,60.349442,60.375298,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,413,59.997185,60.029303,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,414,60.716,60.748914,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,415,60.558334,60.592604,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,416,60.656639,60.689684,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,417,63.244385,63.281847,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,418,63.712257,63.74989,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,419,61.085697,61.117462,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,420,60.50816,60.537992,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,421,60.51123,60.54215,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,422,60.322815,60.353348,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,423,62.821377,62.85424,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,424,60.91571,60.946733,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,425,61.16864,61.200827,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,426,60.361729,60.394143,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,427,60.869633,60.90184,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,428,60.548096,60.578758,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,429,60.821503,60.853119,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,430,61.343742,61.375042,4014.374,4256.0
