run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,165,202.19287,202.28194,60.39757,60.39757,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,166,272.9653,273.08571,60.31763,60.31763,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,167,205.51744,205.60056,60.94746,60.94746,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,168,225.21919,225.30831,60.26448,60.26448,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,169,264.4744,264.55779,60.60237,60.60237,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,170,204.71133,204.96176,63.72659,63.72659,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,171,209.27562,209.35654,63.91398,63.91398,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,172,203.47089,203.55617,62.53363,62.53363,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,173,199.43233,199.51594,60.22861,60.22861,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,174,202.96786,203.0491,61.10925,61.10925,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,175,199.18253,199.26304,59.97977,59.97977,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,176,201.1295,201.2234,61.6151,61.6151,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,177,203.34282,203.42929,62.84288,62.84288,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,178,224.30817,224.4013,62.27968,62.27968,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,179,219.62256,219.70704,62.39744,62.39744,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,180,223.30688,223.39174,60.33408,60.33408,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,181,198.98764,199.06488,59.92243,59.92243,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,182,202.18623,202.29615,60.27981,60.27981,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,183,229.93689,230.01898,61.81683,61.81683,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,184,200.70903,200.79398,60.39757,60.39757,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,185,200.42041,200.49955,60.27869,60.27869,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,186,199.32451,199.40474,60.32486,60.32486,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,187,199.8912,199.97067,60.45696,60.45696,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,188,200.61862,200.70664,60.21837,60.21837,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,189,203.82771,204.05674,60.25933,60.25933,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,190,200.39677,200.47513,60.27274,60.27274,4013.604,5294.0
